PM2_5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI
87.9,118.6,54.0,8.9,0.73,55.4,26.1,69.1,82.3
24.0,58.8,56.9,2.9,0.44,83.6,34.6,79.8,51.0
71.5,111.2,58.3,20.4,0.31,19.6,27.1,73.7,59.4
46.7,83.5,60.7,8.6,1.18,10.8,28.1,57.7,39.6
65.1,93.6,37.5,19.8,1.61,87.3,21.3,54.8,45.1
98.1,161.2,8.6,19.8,0.91,35.6,20.9,45.7,83.6
25.7,54.2,5.4,3.2,2.64,138.0,22.9,47.0,63.1
150.4,169.2,53.4,15.8,0.69,44.4,29.7,44.0,90.0
192.7,303.9,34.6,2.0,0.69,59.6,33.5,83.6,164.6
40.7,81.2,8.6,33.1,0.79,41.6,41.5,58.4,15.0
100.1,197.9,21.6,9.0,1.15,33.6,27.4,35.3,78.4
46.2,88.5,55.7,24.9,1.13,65.7,23.8,42.9,75.3
67.8,83.5,45.4,3.8,0.26,18.4,23.3,42.8,67.1
78.2,118.9,22.5,61.0,0.2,19.1,31.4,75.7,44.1
47.5,57.0,19.7,6.7,1.74,14.4,28.6,51.6,58.2
94.1,139.6,18.0,6.3,1.09,62.3,29.2,32.6,95.2
36.8,82.0,51.6,23.0,1.04,30.1,39.3,55.5,60.5
95.0,150.5,74.0,4.3,1.23,70.9,26.6,42.7,91.4
89.5,153.9,58.2,6.9,0.87,34.8,22.4,34.6,83.7
82.8,109.2,50.6,15.7,1.72,25.9,26.7,78.2,57.5
80.8,164.8,9.6,46.3,0.91,39.0,21.1,67.7,78.2
61.1,73.0,28.1,35.8,3.13,83.0,34.5,77.5,74.2
40.4,47.3,57.8,10.3,0.7,55.4,27.0,40.1,30.2
32.5,71.1,42.3,7.3,2.25,58.9,25.9,53.0,42.2
76.4,146.6,57.0,24.6,1.59,45.8,32.3,59.9,75.4
63.6,95.7,20.7,3.6,1.32,120.5,27.4,32.2,61.6
142.5,144.2,23.0,4.6,0.67,97.5,23.5,43.0,109.1
128.1,235.4,85.0,7.8,1.12,34.4,21.8,58.4,119.4
48.6,110.3,11.4,11.3,0.26,43.1,33.3,50.0,54.6
77.7,134.8,13.5,22.9,0.45,31.7,30.0,68.9,79.1
49.0,98.1,26.0,17.1,1.17,17.4,33.4,64.6,39.1
49.9,106.7,55.5,19.3,1.99,14.8,29.2,45.5,66.4
101.9,174.9,42.1,16.4,1.05,31.6,33.8,56.5,84.5
71.1,84.5,78.0,9.2,1.64,46.4,20.1,60.7,62.6
72.6,115.4,26.1,32.3,2.83,13.0,23.1,59.0,88.7
55.4,101.4,41.5,29.7,0.61,14.2,25.9,65.6,54.1
101.1,167.6,61.9,30.1,0.44,44.5,25.0,68.1,108.3
68.2,135.9,34.1,5.7,0.84,29.9,22.3,22.3,60.7
95.6,157.3,14.5,11.3,3.22,69.2,27.0,29.0,116.7
63.3,92.5,75.7,12.5,1.66,32.6,33.0,17.4,56.7
81.3,128.9,49.7,7.4,1.46,92.2,40.0,69.9,90.5
133.7,222.3,52.9,26.1,0.69,67.6,26.9,49.3,106.1
103.2,177.8,32.1,11.0,0.21,52.9,31.7,81.9,93.3
105.5,153.5,34.0,22.6,1.09,48.8,17.6,66.9,97.7
94.2,92.3,13.7,11.0,0.67,48.4,16.7,43.7,78.6
25.9,10.0,48.0,3.6,1.63,51.4,36.1,74.4,30.3
60.6,88.6,32.3,2.0,0.52,51.0,27.8,39.5,59.4
113.0,218.6,17.2,46.9,0.68,64.4,23.4,47.3,92.6
31.3,59.7,27.6,8.5,0.82,56.3,26.2,30.4,31.2
63.5,108.5,49.9,18.5,0.93,49.9,17.6,66.4,64.1
22.1,31.5,96.8,18.1,0.35,28.0,31.6,24.3,15.0
68.2,70.1,15.8,13.4,1.22,22.5,18.0,79.4,60.6
39.2,67.0,32.0,19.4,1.57,50.2,28.8,79.7,40.5
32.1,40.6,28.4,13.7,0.58,16.3,28.2,85.2,36.0
108.9,173.6,12.5,13.9,0.84,43.6,24.4,48.1,74.7
89.8,138.9,108.8,13.6,1.54,25.0,31.5,59.7,92.2
112.7,187.3,53.7,2.0,2.54,37.2,18.3,37.0,93.9
65.9,130.2,45.3,9.1,0.51,86.3,27.4,67.2,78.2
133.8,238.9,16.7,16.6,0.69,18.1,34.7,29.1,111.5
40.7,37.7,22.1,35.1,0.71,34.4,28.3,47.9,34.9
70.8,77.5,20.2,10.4,0.5,109.3,30.9,24.6,55.2
44.5,63.2,81.7,2.0,0.22,30.3,26.8,62.1,30.1
137.4,238.3,11.5,38.2,0.77,8.6,28.5,40.5,103.2
102.8,192.8,57.6,11.4,0.86,31.2,25.7,41.8,113.4
20.5,24.7,38.0,18.7,0.24,23.6,17.6,55.3,26.3
49.5,95.4,60.1,12.4,1.44,36.8,21.9,51.0,78.5
41.6,73.3,39.6,16.6,2.18,97.0,28.7,44.7,80.5
34.3,38.6,8.0,24.6,0.2,26.4,27.3,30.8,15.0
19.6,37.1,32.6,7.9,2.56,27.5,30.4,78.8,47.9
137.9,229.8,23.7,6.2,1.53,48.4,24.6,61.5,120.1
86.5,124.2,41.0,18.2,0.57,6.6,30.4,64.0,83.8
56.1,113.7,17.3,51.4,0.2,57.5,36.5,55.8,58.5
81.9,97.6,39.9,33.1,1.09,86.4,24.6,59.5,44.0
51.6,50.6,81.4,11.4,0.66,116.4,26.6,56.3,62.1
40.7,92.4,43.5,23.2,1.52,62.6,30.6,55.4,84.1
95.8,163.3,17.3,19.4,0.37,66.9,35.2,71.9,73.3
59.1,78.8,24.9,5.9,0.2,19.5,29.0,36.0,33.6
124.0,184.1,49.9,3.1,0.41,34.3,31.2,43.8,97.3
147.8,176.5,39.8,4.6,0.66,32.1,27.1,18.0,104.6
52.9,82.9,31.8,10.9,0.65,29.9,29.1,79.8,33.8
95.0,191.6,27.4,15.9,0.75,16.5,33.1,47.4,103.2
69.2,134.1,33.4,14.2,1.1,73.0,28.2,43.9,100.5
111.0,208.0,25.9,20.4,0.54,17.8,32.3,53.2,90.7
49.3,89.1,81.7,4.1,0.2,44.5,29.0,41.9,38.7
60.2,111.5,104.5,16.0,0.44,17.2,21.0,53.9,57.9
75.8,129.6,63.4,16.7,1.19,114.6,24.9,60.0,91.0
90.8,186.5,22.1,8.6,1.18,43.7,23.9,46.6,55.3
90.9,153.8,66.2,33.7,0.77,17.6,29.4,33.4,84.0
63.4,122.0,7.9,7.6,0.37,32.1,25.1,53.0,40.7
56.2,76.4,21.2,12.1,1.23,15.9,24.0,62.1,30.3
74.2,116.7,70.8,24.9,1.16,54.0,31.9,69.8,68.7
108.8,131.4,24.1,7.0,1.09,17.6,32.2,42.1,85.9
69.2,138.2,47.0,19.6,0.41,54.1,25.9,19.5,64.3
120.4,255.6,17.6,18.7,1.57,80.2,35.8,44.5,117.4
39.2,76.4,25.0,22.3,3.32,74.4,40.9,68.1,90.2
58.6,98.1,18.0,7.3,2.05,46.0,31.3,46.5,61.2
107.1,173.1,26.3,20.1,0.7,23.2,23.1,58.8,72.2
68.7,111.2,23.5,14.1,0.42,53.0,24.5,55.9,58.8
100.0,125.1,13.1,45.9,0.94,61.0,35.7,40.0,74.1
51.4,72.8,28.9,48.2,1.05,84.8,30.5,80.0,69.7
54.1,56.2,27.1,11.4,3.04,9.9,23.0,90.2,48.5
49.4,69.3,36.3,11.3,1.1,16.7,27.7,46.9,34.7
116.3,185.1,92.2,4.5,1.93,45.4,31.0,51.4,103.7
40.1,49.6,44.9,10.3,2.52,18.3,33.2,58.8,55.2
76.8,105.4,35.0,3.7,1.16,39.9,29.7,64.5,76.9
19.5,38.2,23.1,23.3,2.21,44.9,24.7,51.9,53.4
78.7,159.1,20.4,6.9,0.3,70.6,31.1,28.1,88.9
10.8,19.6,52.3,7.8,0.92,15.7,17.0,81.2,30.0
53.3,77.7,17.3,25.9,0.72,59.0,31.8,50.9,40.3
61.6,96.3,21.7,11.1,0.52,19.3,18.5,53.9,52.4
96.9,196.1,13.1,4.0,0.64,37.5,21.8,87.4,103.4
53.9,60.0,119.9,4.7,0.43,32.8,19.7,61.1,44.7
72.1,109.7,49.5,27.3,0.63,71.4,27.1,54.9,61.0
68.0,112.9,44.1,16.5,0.96,19.0,15.5,54.0,49.2
24.8,23.4,17.4,13.8,4.04,17.4,16.1,69.0,47.8
90.9,138.2,96.9,21.3,2.12,22.8,33.9,59.9,86.6
141.5,236.9,21.4,23.6,1.84,35.4,25.5,62.5,109.8
62.2,94.6,13.3,37.6,0.73,11.9,36.7,71.7,47.2
179.2,348.2,53.8,15.4,0.24,69.2,19.7,57.0,152.3
44.0,60.2,13.6,9.0,0.2,38.6,16.7,52.3,49.9
32.3,62.3,49.6,8.5,2.83,69.1,18.0,20.9,61.9
81.6,130.4,18.8,22.4,2.52,20.1,30.3,95.0,83.3
83.2,118.2,101.0,4.9,0.41,42.4,33.8,53.7,75.2
47.8,91.4,22.9,6.0,0.23,99.1,26.8,49.1,46.5
63.5,155.2,30.6,26.5,1.43,54.7,29.0,60.0,79.0
45.7,58.4,24.6,17.1,0.36,16.7,35.0,54.2,40.6
68.1,103.1,13.8,9.8,0.32,69.0,38.8,71.5,48.3
